date,tagesschau,tagesthemen
2007-07-01,https://www.tagesschau.de/multimedia/sendung/sendung1188.html,https://www.tagesschau.de/multimedia/sendung/sendung1196.html
2007-07-02,https://www.tagesschau.de/multimedia/sendung/sendung1178.html,https://www.tagesschau.de/multimedia/sendung/sendung1130.html
2007-07-03,https://www.tagesschau.de/multimedia/sendung/sendung1162.html,https://www.tagesschau.de/multimedia/sendung/sendung1160.html
2007-07-04,https://www.tagesschau.de/multimedia/sendung/sendung1146.html,https://www.tagesschau.de/multimedia/sendung/sendung950.html
2007-07-05,https://www.tagesschau.de/multimedia/sendung/sendung1126.html,https://www.tagesschau.de/multimedia/sendung/sendung1118.html
2007-07-06,https://www.tagesschau.de/multimedia/sendung/sendung1106.html,https://www.tagesschau.de/multimedia/sendung/sendung1104.html
2007-07-07,https://www.tagesschau.de/multimedia/sendung/sendung1088.html,https://www.tagesschau.de/multimedia/sendung/sendung1086.html
2007-07-08,https://www.tagesschau.de/multimedia/sendung/sendung1068.html,https://www.tagesschau.de/multimedia/sendung/sendung1066.html
2007-07-09,https://www.tagesschau.de/multimedia/sendung/sendung1050.html,https://www.tagesschau.de/multimedia/sendung/sendung1048.html
2007-07-10,https://www.tagesschau.de/multimedia/sendung/sendung1018.html,https://www.tagesschau.de/multimedia/sendung/sendung1016.html
2007-07-11,https://www.tagesschau.de/multimedia/sendung/sendung990.html,https://www.tagesschau.de/multimedia/sendung/sendung988.html
2007-07-12,https://www.tagesschau.de/multimedia/sendung/sendung960.html,https://www.tagesschau.de/multimedia/sendung/sendung958.html
2007-07-13,https://www.tagesschau.de/multimedia/sendung/sendung928.html,https://www.tagesschau.de/multimedia/sendung/sendung874.html
2007-07-14,https://www.tagesschau.de/multimedia/sendung/sendung912.html,https://www.tagesschau.de/multimedia/sendung/sendung910.html
2007-07-15,https://www.tagesschau.de/multimedia/sendung/sendung894.html,https://www.tagesschau.de/multimedia/sendung/sendung892.html
2007-07-16,https://www.tagesschau.de/multimedia/sendung/sendung876.html,https://www.tagesschau.de/multimedia/sendung/sendung872.html
2007-07-17,https://www.tagesschau.de/multimedia/sendung/sendung856.html,https://www.tagesschau.de/multimedia/sendung/sendung854.html
2007-07-18,https://www.tagesschau.de/multimedia/sendung/sendung838.html,https://www.tagesschau.de/multimedia/sendung/sendung834.html
2007-07-19,https://www.tagesschau.de/multimedia/sendung/sendung820.html,https://www.tagesschau.de/multimedia/sendung/sendung818.html
2007-07-20,https://www.tagesschau.de/multimedia/sendung/sendung802.html,https://www.tagesschau.de/multimedia/sendung/sendung798.html
2007-07-21,https://www.tagesschau.de/multimedia/sendung/sendung782.html,https://www.tagesschau.de/multimedia/sendung/sendung780.html
2007-07-22,https://www.tagesschau.de/multimedia/sendung/sendung764.html,https://www.tagesschau.de/multimedia/sendung/sendung762.html
2007-07-23,https://www.tagesschau.de/multimedia/sendung/sendung732.html,https://www.tagesschau.de/multimedia/sendung/sendung730.html
